Date;Close
24.5.2023;754.13
23.5.2023;765.98
22.5.2023;767.61
19.5.2023;767.10
18.5.2023;765.28
17.5.2023;758.28
16.5.2023;756.22
15.5.2023;756.18
12.5.2023;752.99
11.5.2023;751.12
10.5.2023;748.29
9.5.2023;748.38
8.5.2023;752.68
5.5.2023;750.48
4.5.2023;741.22
3.5.2023;744.24
2.5.2023;744.31
28.4.2023;758.49
27.4.2023;752.60
26.4.2023;749.60
25.4.2023;755.45
24.4.2023;762.49
21.4.2023;762.19
20.4.2023;761.10
19.4.2023;760.22
18.4.2023;763.15
17.4.2023;758.50
14.4.2023;761.40
13.4.2023;760.57
12.4.2023;759.54
11.4.2023;763.32
6.4.2023;759.84
5.4.2023;755.76
4.4.2023;758.36
3.4.2023;758.41
31.3.2023;756.18
30.3.2023;752.46
29.3.2023;745.54
28.3.2023;733.81
27.3.2023;735.91
24.3.2023;731.81
23.3.2023;743.59
22.3.2023;741.80
21.3.2023;736.18
20.3.2023;729.05
17.3.2023;722.43
16.3.2023;727.06
15.3.2023;716.47
14.3.2023;737.52
13.3.2023;727.25
10.3.2023;743.03
9.3.2023;753.20
8.3.2023;753.35
7.3.2023;751.52
6.3.2023;759.83
3.3.2023;760.57
2.3.2023;755.17
1.3.2023;749.38
28.2.2023;752.93
27.2.2023;756.99
24.2.2023;746.41
23.2.2023;755.72
22.2.2023;756.63
21.2.2023;757.66
20.2.2023;762.63
17.2.2023;765.04
16.2.2023;771.69
15.2.2023;769.73
14.2.2023;762.97
13.2.2023;762.64
10.2.2023;752.22
9.2.2023;757.05
8.2.2023;748.40
7.2.2023;753.09
6.2.2023;752.40
3.2.2023;763.86
2.2.2023;758.61
1.2.2023;747.68
31.1.2023;745.19
30.1.2023;744.83
27.1.2023;750.67
26.1.2023;747.21
25.1.2023;741.34
24.1.2023;746.40
23.1.2023;747.87
20.1.2023;738.64
19.1.2023;735.68
18.1.2023;749.12
17.1.2023;748.81
16.1.2023;748.35
13.1.2023;748.04
12.1.2023;741.90
11.1.2023;738.83
10.1.2023;733.03
9.1.2023;736.18
6.1.2023;724.26
5.1.2023;714.32
4.1.2023;717.51
3.1.2023;707.63
2.1.2023;701.16
30.12.2022;689.01
29.12.2022;701.01
28.12.2022;694.84
27.12.2022;701.06
23.12.2022;701.06
22.12.2022;700.40
21.12.2022;709.58
20.12.2022;697.25
19.12.2022;700.71
16.12.2022;700.00
15.12.2022;707.60
14.12.2022;730.87
13.12.2022;732.95
12.12.2022;720.69
9.12.2022;724.17
8.12.2022;719.83
7.12.2022;718.34
6.12.2022;723.68
5.12.2022;727.09
2.12.2022;731.04
1.12.2022;731.74
30.11.2022;724.10
29.11.2022;717.74
28.11.2022;720.51
25.11.2022;722.93
24.11.2022;722.74
23.11.2022;721.45
22.11.2022;716.33
21.11.2022;710.38
18.11.2022;712.55
17.11.2022;708.38
16.11.2022;709.11
15.11.2022;716.43
14.11.2022;706.67
11.11.2022;702.91
10.11.2022;700.65
9.11.2022;677.26
8.11.2022;683.96
7.11.2022;676.06
4.11.2022;671.88
3.11.2022;661.18
2.11.2022;667.24
1.11.2022;673.32
31.10.2022;670.62
28.10.2022;667.52
27.10.2022;669.40
26.10.2022;665.63
25.10.2022;666.21
24.10.2022;653.54
21.10.2022;652.46
20.10.2022;652.04
19.10.2022;645.39
18.10.2022;642.48
17.10.2022;640.95
14.10.2022;630.58
13.10.2022;633.01
12.10.2022;631.18
11.10.2022;636.31
10.10.2022;641.21
7.10.2022;647.11
6.10.2022;661.38
5.10.2022;664.45
4.10.2022;669.59
3.10.2022;645.80
30.9.2022;640.62
29.9.2022;633.55
28.9.2022;641.09
27.9.2022;642.72
26.9.2022;640.41
23.9.2022;639.28
22.9.2022;657.40
21.9.2022;669.79
20.9.2022;661.61
19.9.2022;665.43
16.9.2022;664.83
15.9.2022;674.74
14.9.2022;680.86
13.9.2022;684.23
12.9.2022;696.87
9.9.2022;685.97
8.9.2022;674.40
7.9.2022;671.27
6.9.2022;675.27
5.9.2022;674.12
2.9.2022;678.57
1.9.2022;666.94
31.8.2022;680.31
30.8.2022;690.31
29.8.2022;698.33
26.8.2022;705.08
25.8.2022;718.25
24.8.2022;713.81
23.8.2022;710.87
22.8.2022;711.04
19.8.2022;719.52
18.8.2022;725.86
17.8.2022;723.09
16.8.2022;728.11
15.8.2022;728.88
12.8.2022;725.76
11.8.2022;725.79
10.8.2022;724.27
9.8.2022;716.93
8.8.2022;727.87
5.8.2022;722.74
4.8.2022;731.58
3.8.2022;734.53
2.8.2022;725.75
1.8.2022;728.18
29.7.2022;729.44
28.7.2022;722.38
27.7.2022;713.53
26.7.2022;706.26
25.7.2022;707.01
22.7.2022;705.04
21.7.2022;704.61
20.7.2022;694.41
19.7.2022;689.47
18.7.2022;681.10
15.7.2022;671.92
14.7.2022;659.71
13.7.2022;665.91
12.7.2022;670.68
11.7.2022;669.17
8.7.2022;674.22
7.7.2022;671.42
6.7.2022;656.71
5.7.2022;644.22
4.7.2022;659.61
1.7.2022;655.68
30.6.2022;659.23
29.6.2022;666.57
28.6.2022;669.01
27.6.2022;670.53
24.6.2022;660.32
23.6.2022;635.93
22.6.2022;641.87
21.6.2022;648.03
20.6.2022;641.43
17.6.2022;635.75
16.6.2022;638.34
15.6.2022;663.21
14.6.2022;652.87
13.6.2022;661.54
10.6.2022;681.97
9.6.2022;699.58
8.6.2022;710.99
7.6.2022;709.14
6.6.2022;711.82
3.6.2022;700.69
2.6.2022;703.44
1.6.2022;701.19
31.5.2022;712.88
30.5.2022;708.34
27.5.2022;702.28
26.5.2022;692.80
25.5.2022;684.11
24.5.2022;679.88
23.5.2022;694.02
20.5.2022;682.96
19.5.2022;678.35
18.5.2022;693.03
17.5.2022;702.58
16.5.2022;694.62
13.5.2022;694.13
12.5.2022;675.09
11.5.2022;682.70
10.5.2022;669.74
9.5.2022;666.17
6.5.2022;682.19
5.5.2022;696.19
4.5.2022;698.68
3.5.2022;705.95
2.5.2022;694.44
29.4.2022;710.98
28.4.2022;705.93
27.4.2022;696.35
26.4.2022;695.57
25.4.2022;699.17
22.4.2022;717.26
21.4.2022;729.05
20.4.2022;725.61
19.4.2022;716.57
14.4.2022;719.70
13.4.2022;718.07
12.4.2022;716.38
11.4.2022;714.74
8.4.2022;724.75
7.4.2022;716.53
6.4.2022;719.67
5.4.2022;736.02
4.4.2022;737.80
1.4.2022;728.00
31.3.2022;724.20
30.3.2022;733.88
29.3.2022;735.15
28.3.2022;720.36
25.3.2022;723.90
24.3.2022;720.85
23.3.2022;721.81
22.3.2022;728.27
21.3.2022;718.37
18.3.2022;716.36
17.3.2022;707.45
16.3.2022;703.52
15.3.2022;676.38
14.3.2022;674.30
11.3.2022;674.80
10.3.2022;671.85
9.3.2022;688.33
8.3.2022;656.74
7.3.2022;669.04
4.3.2022;671.73
3.3.2022;705.42
2.3.2022;721.00
1.3.2022;713.46
28.2.2022;729.72
25.2.2022;727.85
24.2.2022;708.55
23.2.2022;727.91
22.2.2022;731.96
21.2.2022;729.73
18.2.2022;744.89
17.2.2022;751.20
16.2.2022;758.92
15.2.2022;755.22
14.2.2022;747.89
11.2.2022;761.50
10.2.2022;762.65
9.2.2022;769.94
8.2.2022;755.79
7.2.2022;755.69
4.2.2022;747.17
3.2.2022;748.81
2.2.2022;765.56
1.2.2022;765.22
31.1.2022;755.20
28.1.2022;744.26
27.1.2022;753.79
26.1.2022;752.43
25.1.2022;739.86
24.1.2022;738.66
21.1.2022;763.70
20.1.2022;778.26
19.1.2022;772.56
18.1.2022;769.70
17.1.2022;781.32
14.1.2022;783.53
13.1.2022;791.33
12.1.2022;790.44
11.1.2022;782.35
10.1.2022;773.13
7.1.2022;788.43
6.1.2022;785.90
5.1.2022;800.75
4.1.2022;804.28
3.1.2022;803.31
31.12.2021;797.93
30.12.2021;800.25
29.12.2021;796.12
28.12.2021;800.95
27.12.2021;797.30
24.12.2021;790.48
23.12.2021;792.30
22.12.2021;782.08
21.12.2021;774.95
